#Accession	ID	Type	Description	Class	subclass
RF00001	5S_rRNA	Gene;rRNA	5S ribosomal RNA	rRNA	5S_rRNA
RF00002	5_8S_rRNA	Gene;rRNA	5.8S ribosomal RNA	rRNA	5.8S_rRNA
RF00177	SSU_rRNA_bacteria	Gene;rRNA	Bacterial small subunit ribosomal RNA	rRNA	SSU_rRNA_bacteria
RF01959	SSU_rRNA_archaea	Gene;rRNA	Archaeal small subunit ribosomal RNA	rRNA	SSU_rRNA_archaea
RF01960	SSU_rRNA_eukarya	Gene;rRNA	Eukaryotic small subunit ribosomal RNA	rRNA	SSU_rRNA_eukarya
RF02540	LSU_rRNA_archaea	Gene;rRNA	Archaeal large subunit ribosomal RNA	rRNA	LSU_rRNA_archaea
RF02541	LSU_rRNA_bacteria	Gene;rRNA	Bacterial large subunit ribosomal RNA	rRNA	LSU_rRNA_bacteria
RF02542	SSU_rRNA_microsporidia	Gene;rRNA	Microsporidia small subunit ribosomal RNA	rRNA	SSU_rRNA_microsporidia
RF02543	LSU_rRNA_eukarya	Gene;rRNA	Eukaryotic large subunit ribosomal RNA	rRNA	LSU_rRNA_eukarya
RF02545	SSU_trypano_mito	Gene;rRNA	Trypanosomatid mitochondrial small subunit ribosomal RNA	rRNA	SSU_trypano_mito
RF02546	LSU_trypano_mito	Gene;rRNA	Trypanosomatid mitochondrial large subunit ribosomal RNA	rRNA	LSU_trypano_mito
RF02547	mtPerm-5S	Gene;rRNA	Permuted mitochondrial genome encoded 5S rRNA	rRNA	mtPerm-5S
RF02554	ppoRNA	Gene;rRNA	mt-5S-like P. polycephalum	rRNA	ppoRNA
RF02555	hveRNA	Gene;rRNA	mt-5S-like H. vermiformis	rRNA	hveRNA
RF00005	tRNA	Gene;tRNA	tRNA	tRNA	tRNA
RF00014	DsrA	Gene;sRNA	DsrA RNA	sRNA	sRNA
RF00018	CsrB	Gene;sRNA	CsrB/RsmB RNA family	sRNA	sRNA
RF00021	Spot_42	Gene;sRNA	Spot 42 RNA	sRNA	sRNA
RF00027	let-7	Gene;miRNA	let-7 microRNA precursor	miRNA	miRNA
RF00034	RprA	Gene;sRNA	RprA RNA	sRNA	sRNA
RF00035	OxyS	Gene;sRNA	OxyS RNA	sRNA	sRNA
RF00047	mir-2	Gene;miRNA	mir-2 microRNA precursor	miRNA	miRNA
RF00051	mir-17	Gene;miRNA	mir-17 microRNA precursor family	miRNA	miRNA
RF00052	lin-4	Gene;miRNA	lin-4 microRNA precursor	miRNA	miRNA
RF00053	mir-7	Gene;miRNA	mir-7 microRNA precursor	miRNA	miRNA
RF00057	RyhB	Gene;sRNA	RyhB RNA	sRNA	sRNA
RF00073	mir-156	Gene;miRNA	mir-156 microRNA precursor	miRNA	miRNA
RF00074	mir-29	Gene;miRNA	mir-29 microRNA precursor	miRNA	miRNA
RF00075	mir-166	Gene;miRNA	mir-166 microRNA precursor	miRNA	miRNA
RF00076	mir-181	Gene;miRNA	mir-181 microRNA precursor	miRNA	miRNA
RF00077	SraB	Gene;sRNA	SraB RNA	sRNA	sRNA
RF00078	MicA	Gene;sRNA	MicA sRNA	sRNA	sRNA
RF00079	OmrA-B	Gene;sRNA	OmrA-B family	sRNA	sRNA
RF00081	ArcZ	Gene;sRNA	ArcZ RNA	sRNA	sRNA
RF00082	SraG	Gene;sRNA	SraG RNA	sRNA	sRNA
RF00083	GlmZ_SraJ	Gene;sRNA	GlmZ RNA activator of glmS mRNA	sRNA	sRNA
RF00084	CsrC	Gene;sRNA	CsrC RNA family	sRNA	sRNA
RF00101	SraC_RyeA	Gene;sRNA	SraC/RyeA RNA	sRNA	sRNA
RF00103	mir-1	Gene;miRNA	mir-1 microRNA precursor family	miRNA	miRNA
RF00104	mir-10	Gene;miRNA	mir-10 microRNA precursor family	miRNA	miRNA
RF00110	RybB	Gene;sRNA	RybB RNA	sRNA	sRNA
RF00111	SdsR_RyeB	Gene;sRNA	SdsR_RyeB RNA	sRNA	sRNA
RF00112	CyaR_RyeE	Gene;sRNA	CyaR/Rye RNA	sRNA	sRNA
RF00115	McaS	Gene;sRNA	McaS/IsrA RNA	sRNA	sRNA
RF00116	C0465	Gene;sRNA	C0465 RNA	sRNA	sRNA
RF00117	C0719	Gene;sRNA	C0719 RNA	sRNA	sRNA
RF00118	rydB	Gene;sRNA	rydB RNA	sRNA	sRNA
RF00119	C0299	Gene;sRNA	C0299 RNA	sRNA	sRNA
RF00121	MicC	Gene;sRNA	MicC RNA	sRNA	sRNA
RF00122	GadY	Gene;sRNA	GadY	sRNA	sRNA
RF00124	IS102	Gene;sRNA	IS102 RNA	sRNA	sRNA
RF00125	IS128	Gene;sRNA	IS128 RNA	sRNA	sRNA
RF00126	ryfA	Gene;sRNA	ryfA RNA	sRNA	sRNA
RF00127	t44	Gene;sRNA	t44 RNA	sRNA	sRNA
RF00128	GlmY_tke1	Gene;sRNA	Glm Y RNA activator of glmS mRNA	sRNA	sRNA
RF00129	mir-103	Gene;miRNA	mir-103/107 microRNA precursor	miRNA	miRNA
RF00130	mir-192	Gene;miRNA	mir-192/215 microRNA precursor	miRNA	miRNA
RF00131	mir-30	Gene;miRNA	mir-30 microRNA precursor	miRNA	miRNA
RF00143	mir-6	Gene;miRNA	mir-6 microRNA precursor	miRNA	miRNA
RF00144	mir-199	Gene;miRNA	mir-199 microRNA precursor	miRNA	miRNA
RF00166	PrrB_RsmZ	Gene;sRNA	PrrB/RsmZ RNA family	sRNA	sRNA
RF00178	mir-24	Gene;miRNA	mir-24 microRNA precursor family	miRNA	miRNA
